Se encontraron 4467 gramas de tamaño 1
[2331]	COMPANY
[43]	IRAQI
[43]	CALIF
[43]	SOFT
[43]	TREND
[43]	STABILITY
[43]	DEBTS
[43]	LABOR
[43]	DOW
[43]	MY
[43]	DECISIONS
[43]	OFFSHORE
[43]	LIMITS
[43]	DISPUTE
[43]	APPROVE
[43]	OUNCES
[43]	SHELL
[43]	WELLS
[43]	DUAL
[43]	USSR
[43]	RENAULT
[42]	SWITZERLAND
[42]	REPLACE
[42]	LOS
[42]	STRENGTH
[42]	DONE
[42]	ACRES
[42]	FALLS
[42]	APPLICATIONS
[42]	ARMY
[42]	HIGHLY
[42]	BASIC
[42]	G
[42]	ENTERPRISES
[42]	REGULATORS
[42]	ASK
[42]	KNOW
[42]	OPPOSED
[42]	OECD
[42]	SEA
[42]	ALLOWING
[42]	RICE
[42]	SCALE
[42]	ROUND
[42]	NAKASONE
[42]	APPOINTED
[42]	ESPECIALLY
[42]	ATT
[41]	ARGENTINE
[41]	COMPLETES
[41]	OHIO
[41]	EXPENSES
[41]	BROAD
[41]	DEMOCRATIC
[41]	ANGELES
[41]	
[41]	DECLINES
[41]	DEALER
[41]	ILLINOIS
[41]	RESULTED
[41]	INSTRUMENTS
[41]	SOLE
[41]	MATTER
[41]	REGION
[41]	GOVERNOR
[41]	BUILT
[41]	EMPLOYMENT
[41]	COMMITMENTS
[41]	ADVANCE
[41]	BAN
[41]	ADVANCES
[41]	CABINET
[41]	HOTEL
[41]	RECOMMENDATION
[41]	EXERCISE
[41]	PESCH
[41]	SUPERMARKETS
[41]	TOOL
[40]	DETERMINE
[40]	APPEARS
[40]	DOUGLAS
[40]	DEMOCRAT
[40]	TREATMENT
[40]	BEHIND
[40]	SIGN
[40]	INSTITUTIONAL
[40]	LISTING
[40]	DISTANCE
[40]	PROTECTION
[40]	DECREASE
[40]	GOLDMAN
[40]	RESUME
[40]	TURN
[40]	EXTERNAL
[40]	TRADER
[40]	NOTHING
[40]	SUMMER
[40]	DEFENCE
[40]	LARGER
[40]	DOUBLE
[40]	NIPPON
[40]	AFFAIRS
[40]	REDUCTIONS
[40]	IMPORTED
[40]	DUTY
[40]	OUNCE
[40]	DOWNGRADED
[40]	RIGS
[40]	CONSORTIUM
[39]	HOUSTON
[39]	HAVING
[39]	FOLLOWS
[39]	BARLEY
[39]	EFFECTS
[39]	REPAYMENTS
[39]	FORCES
[39]	POLL
[39]	THOUGHT
[39]	INTRODUCE
[39]	READY
[39]	INITIALLY
[39]	FORMAL
[39]	LAUNCH
[39]	CONSENT
[39]	ESTABLISHED
[39]	GRADE
[39]	IMPOSED
[39]	LIST
[39]	HELPED
[39]	COMPONENTS
[39]	MOVING
[39]	FEED
[39]	MARGIN
[39]	REPAYMENT
[39]	OBLIGATIONS
[39]	RULED
[39]	PATENT
[39]	PRIVATELY
[39]	EXTEND
[39]	SLOW
[39]	SECTORS
[39]	PROVIDING
[39]	SUPPORTED
[39]	MEASURE
[39]	SYNDICATE
[39]	BUREAU
[39]	STAY
[39]	NEWLY
[39]	OILS
[39]	NIGERIA
[39]	NV
[39]	TRAFFIC
[39]	SILVER
[39]	AMR
[38]	MEAN
[38]	EXCEED
[38]	INTENDED
[38]	PROTECT
[38]	REGAN
[38]	O
[38]	VISIT
[38]	COUNTER
[38]	UNABLE
[38]	DILUTED
[38]	SINKING
[38]	CYCLOPS
[38]	FORCED
[38]	ASSOCIATES
[38]	LEAVE
[38]	COURSE
[38]	TRADITIONAL
[38]	TOWARD
[38]	HECTARES
[38]	RANGING
[38]	ESTABLISH
[38]	STATEMENTS
[38]	STORAGE
[38]	WHOLESALE
[38]	TEXTILE
[38]	JERSEY
[38]	PROGRAMME
[38]	REDSTONE
[38]	AVIATION
[38]	WRITEDOWN
[38]	FAIRCHILD
[37]	STAGE
[37]	HARRIS
[37]	PROCEED
[37]	DEPRESSED
[37]	II
[37]	INVENTORY
[37]	DEALS
[37]	GEORGE
[37]	SHULTZ
[37]	GLOBAL
[37]	GUARANTEE
[37]	CURB
[37]	MARINE
[37]	QUEBEC
[37]	DIFFERENT
[37]	REPAY
[37]	STARTS
[37]	WEEKEND
[37]	MULTI
[37]	GROWERS
[37]	CD
[37]	MATURING
[37]	GROW
[37]	PALM
[37]	TEAM
[37]	ECUS
[37]	ALUMINIUM
[37]	COAL
[37]	DEFINITIVE
[37]	GATES
[37]	CHIPS
[37]	TORONTO
[37]	UNDERWRITER
[37]	ICAHN
[36]	DELIVERED
[36]	WILLIAMS
[36]	VEGETABLE
[36]	INITIATIVE
[36]	SUSPENSION
[36]	POSITIONS
[36]	CASES
[36]	DOING
[36]	DIRECTLY
[36]	POINTED
[36]	INDIVIDUAL
[36]	ABROAD
[36]	ALLOWS
[36]	APPLIED
[36]	ENTIRE
[36]	CERTIFICATE
[36]	INTERNAL
[36]	SANTA
[36]	PASSED
[36]	PORTFOLIO
[36]	CONFIDENCE
[36]	RESPONSIBLE
[36]	AWAY
[36]	POLAND
[36]	GE
[36]	CHEMICALS
[36]	OWNERS
[36]	DECREE
[36]	MACHINES
[36]	MODELS
[36]	EXPIRE
[36]	HEADQUARTERS
[36]	ATLANTIC
[36]	WRITE
[35]	DELAY
[35]	RECOMMENDED
[35]	USX
[35]	INVOLVING
[35]	DOT
[35]	CONDITION
[35]	DAIRY
[35]	TOWER
[35]	Z
[35]	ENTER
[35]	INVEST
[35]	STATION
[35]	WHOLE
[35]	TALK
[35]	TELECOM
[35]	SERVE
[35]	CONSIDERATION
[35]	CONSERVATIVE
[35]	ONGPIN
[35]	SHELF
[35]	SHIFT
[35]	STEPS
[35]	EXPENDITURE
[35]	BAD
[35]	FLIGHTS
[35]	CLOSELY
[35]	STRATEGIC
[35]	SPRING
[35]	SHIP
[35]	FIGHTING
[35]	CLUB
[35]	CAMPAIGN
[35]	RESTATED
[35]	BBB
[35]	DEFICIENCY
[35]	BLOCK
[34]	PORTS
[34]	EXCLUDE
[34]	FILE
[34]	HOWARD
[34]	KINGDOM
[34]	VE
[34]	DESIGN
[34]	STOCKHOLDERS
[34]	JOB
[34]	ACTIONS
[34]	BANKRUPTCY
[34]	ACTUAL
[34]	MIDLAND
[34]	EVIDENCE
[34]	SHIPPED
[34]	DEMANDS
[34]	STANDARDS
[34]	BOOK
[34]	ENABLE
[34]	SPECIALTY
[34]	TESTING
[34]	PHILLIPS
[34]	FREEZE
[34]	BREAK
[34]	SUGGESTED
[34]	INSIDER
[34]	OPERATES
[34]	ZERO
[34]	CONTRA
[34]	KUWAIT
[34]	HOPED
[34]	PARTICIPATION
[34]	SWEDISH
[34]	ORDINARY
[34]	EXTRA
[34]	RAILWAY
[34]	HUNGARY
[34]	SEVERE
[34]	ROOM
[34]	CARGOES
[34]	OWNER
[34]	COURIER
[33]	GRAINS
[33]	REORGANIZATION
[33]	ENSURE
[33]	FORWARD
[33]	MIDDLE
[33]	RECOMMENDATIONS
[33]	ANTICIPATED
[33]	REQUESTED
[33]	CHILE
[33]	PACE
[33]	REFORMS
[33]	UNDERWAY
[33]	SHORTFALL
[33]	ATTACK
[33]	AVERAGED
[33]	EST
[33]	PERU
[33]	CLEARING
[33]	TAKES
[33]	RETAIN
[33]	EXPLAINED
[33]	FACES
[33]	ADVANTAGE
[33]	LLOYDS
[33]	PRESENTED
[33]	BORROWERS
[33]	SEMI
[33]	AGENT
[33]	MCDONNELL
[33]	STRIKES
[33]	AIM
[33]	UTILITIES
[33]	EXPORTED
[33]	EMBASSY
[33]	REMARKS
[33]	MILLION
[33]	FRESH
[33]	MODEL
[33]	NASDAQ
[33]	APPLE
[33]	SHEET
[33]	DOWNGRADE
[33]	REPUBLIC
[33]	KIDDER
[32]	CREATE
[32]	V
[32]	SEN
[32]	ELECTIONS
[32]	NEGOTIATE
[32]	REFUSED
[32]	CONSERVATION
[32]	HUGE
[32]	ANNOUNCE
[32]	CITIES
[32]	ENTERTAINMENT
[32]	CONVERTED
[32]	LET
[32]	GRANT
[32]	JIM
[32]	SIGNAL
[32]	WORKFORCE
[32]	REFLECTING
[32]	DECIDE
[32]	ACHIEVE
[32]	JUDGE
[32]	SPACE
[32]	UNIONS
[32]	ASIA
[32]	INDONESIAN
[32]	ARAB
[32]	TARIFFS
[32]	LACK
[32]	TROOPS
[32]	POLICE
[32]	ADOPT
[32]	EGYPT
[32]	SIGNIFICANTLY
[32]	CARRIES
[32]	DIGITAL
[32]	BOURSE
[32]	DRAFT
[32]	BIDDING
[32]	DRUGS
[32]	APPLY
[32]	LAWSON
[32]	GUILDER
[32]	THUS
[32]	MERCHANDISE
[32]	ALLIED
[31]	COCOA
[31]	ENDS
[31]	LBS
[31]	PARTNER
[31]	BEAR
[31]	JOINED
[31]	EXTENT
[31]	DENIED
[31]	HAND
[31]	WARNED
[31]	REV
[31]	CHANGING
[31]	CHARLES
[31]	TARGETS
[31]	REP
[31]	BALANCES
[31]	PERMIT
[31]	PROVINCE
[31]	VALUES
[31]	JAMAICA
[31]	ACCOUNTED
[31]	ACCRUED
[31]	PAINEWEBBER
[31]	SATURDAY
[31]	SUCCESS
[31]	DEREGULATION
[31]	SUBSIDY
[31]	ONTARIO
[31]	MARGINS
[31]	GASOLINE
[31]	THIRDS
[31]	REPRESENTED
[31]	DIFFICULTIES
[31]	SPEAKING
[31]	PROTEST
[31]	BORROWER
[31]	SWAP
[31]	REXNORD
[31]	NAVY
[31]	JONES
[31]	COMBINATION
[31]	ALLEGHENY
[30]	DROUGHT
[30]	CIRCUMSTANCES
[30]	LOSE
[30]	UNSECURED
[30]	BA
[30]	TERMINAL
[30]	LICENSING
[30]	CARD
[30]	DISCLOSE
[30]	CONSIDERABLE
[30]	ADDRESS
[30]	TOTALLING
[30]	EXCLUDING
[30]	STRESSED
[30]	GUARANTEES
[30]	MEANT
[30]	DISCUSSED
[30]	VENTURES
[30]	COMMITTED
[30]	PHILIPPINE
[30]	BODY
[30]	CHIP
[30]	CONTRIBUTED
[30]	SPREAD
[30]	SOLUTION
[30]	TEN
[30]	AIRWAYS
[30]	FRANK
[30]	LOWEST
[30]	CONFIDENT
[30]	SOVIETS
[30]	SIDES
[30]	VOTES
[30]	GREW
[30]	USERS
[30]	LIVESTOCK
[30]	DELIVERIES
[30]	PUSH
[30]	ATTRACTIVE
[30]	YIELDS
[30]	CONTAINER
[30]	CROSS
[30]	APPEAR
[30]	PLACEMENT
[30]	GRACE
[30]	PARTICIPANTS
[30]	PLANTED
[30]	BAND
[30]	EXPIRATION
[30]	BALLY
[30]	PETITION
[30]	AIDS
[30]	PENNSYLVANIA
[30]	PARTICULAR
[30]	ASSISTANT
[30]	BELGIUM
[30]	MOROCCO
[30]	FERRY
[29]	HANDS
[29]	BAA
[29]	MATERIAL
[29]	YR
[29]	DONALD
[29]	REALTY
[29]	NATIONWIDE
[29]	RECORDED
[29]	EXPIRES
[29]	HALT
[29]	ELECTED
[29]	MORATORIUM
[29]	WIDELY
[29]	REGULATIONS
[29]	LA
[29]	RAW
[29]	COMMENTS
[29]	CREATED
[29]	FACT
[29]	COVERED
[29]	HURT
[29]	DEVELOPMENTS
[29]	PENSION
[29]	SUCCESSFUL
[29]	FEDERATION
[29]	SPEND
[29]	CHOICE
[29]	STRONGLY
[29]	LAKE
[29]	ENGINES
[29]	NETHERLANDS
[29]	SUBMITTED
[29]	BUYER
[29]	CONFIRMED
[29]	PETER
[29]	JOBS
[29]	GNP
[29]	GEORGIA
[29]	OCCIDENTAL
[29]	MAINTENANCE
[29]	PHARMACEUTICAL
[29]	COLLAPSE
[29]	DISTRIBUTED
[29]	PEABODY
[29]	PREFERENCE
[29]	MOMENT
[29]	SPEAKER
[28]	DETAILED
[28]	APPROVES
[28]	NOTING
[28]	PRESIDENTIAL
[28]	OPINION
[28]	IDENTIFIED
[28]	STRONGER
[28]	POSTPONED
[28]	WAITING
[28]	EXCHANGEABLE
[28]	DOLE
[28]	IOWA
[28]	DEPRECIATION
[28]	EXPENDITURES
[28]	CIRCULATION
[28]	CHAIN
[28]	APPEARED
[28]	RUMORS
[28]	PROFITABLE
[28]	TYPE
[28]	FOCUS
[28]	SCHEDULE
[28]	STUDYING
[28]	JOINTLY
[28]	RESULTING
[28]	RESCUE
[28]	HANDLING
[28]	AEROSPACE
[28]	SETTING
[28]	FAIRLY
[28]	EXECUTIVES
[28]	CARRYING
[28]	COMPARES
[28]	RESOLVE
[28]	KIND
[28]	SERIOUSLY
[28]	MISSILES
[28]	CIVIL
[28]	DAMAGED
[28]	ACROSS
[28]	POSSIBLY
[28]	TRANS
[28]	GETTING
[28]	AIRPORT
[28]	MICHIGAN
[28]	DES
[28]	MILLS
[28]	MALAYSIA
[28]	ASSOCIATED
[28]	PRACTICES
[28]	EVENTUALLY
[28]	APPEAL
[28]	COS
[28]	ADDS
[28]	INVESTIGATION
[28]	TIRE
[28]	WARNER
[28]	BROADCASTING
[28]	AGGRESSIVE
[28]	MINERALS
[28]	TURKEY
[28]	KM
[28]	DYNAMICS
[28]	MM
[28]	COINS
[28]	RESORTS
[28]	INCO
[27]	LINK
[27]	REACTION
[27]	EXCLUSIVE
[27]	CONNECTION
[27]	ENHANCEMENT
[27]	BIT
[27]	OBTAIN
[27]	DEBTORS
[27]	INTELLIGENCE
[27]	BECAME
[27]	LICENSE
[27]	CRITICAL
[27]	MACHINERY
[27]	QUARTERS
[27]	ILL
[27]	OWED
[27]	SOMETHING
[27]	GMT
[27]	COLUMBIA
[27]	EVER
[27]	DIAMOND
[27]	BRINGS
[27]	PRIMARILY
[27]	SHOWN
[27]	UNIVERSITY
[27]	ENVIRONMENT
[27]	NOVA
[27]	TESTS
[27]	ME
[27]	INSURED
[27]	THREATENED
[27]	WEAKNESS
[27]	OVERNIGHT
[27]	HILL
[27]	STAND
[27]	ISLAND
[27]	INCENTIVES
[27]	LIBERAL
[27]	SEATS
[27]	BULLISH
[27]	CONCLUDED
[27]	CONDUCTED
[27]	MINORITY
[27]	DEBATE
[27]	DIRECTION
[27]	FRONT
[27]	LUKMAN
[27]	DUTIES
[27]	STOPPED
[27]	EXXON
[27]	PROVISIONAL
[27]	QUESTIONS
[27]	FACTORY
[27]	CRITERIA
[27]	AFFECTING
[27]	SPENT
[27]	EARN
[27]	REALLY
[27]	WHY
[27]	TRUCKS
[27]	LINKED
[27]	DEFAULT
[27]	BRANCH
[27]	OUTCOME
[27]	MEMBERSHIP
[27]	REJECTS
[27]	JOIN
[27]	FRANKLIN
[27]	BB
[27]	CFTC
[27]	MERCHANT
[27]	ROW
[27]	BALDRIGE
[27]	LIABILITIES
[26]	IMPROVING
[26]	BUTTER
[26]	BANCORP
[26]	SORGHUM
[26]	VOTED
[26]	RECOMMEND
[26]	CLEARLY
[26]	CRITICISM
[26]	SHORTLY
[26]	HOUSING
[26]	SAVE
[26]	DEBTOR
[26]	PARLIAMENTARY
[26]	STAR
[26]	MANUFACTURER
[26]	INTERMEDIATE
[26]	PROFITABILITY
[26]	EXPANDED
[26]	NEVER
[26]	REBELS
[26]	THEMSELVES
[26]	TIMING
[26]	FASTER
[26]	SPEED
[26]	FAVOR
[26]	REGULATION
[26]	RAPID
[26]	SATELLITE
[26]	THAI
[26]	DOCUMENTS
[26]	MATURITIES
[26]	METHOD
[26]	SUNDAY
[26]	AL
[26]	QATAR
[26]	SANTOS
[26]	PAKISTAN
[26]	LOSING
[26]	GREEN
[26]	BLACK
[26]	BRINGING
[26]	PLANES
[26]	RALLY
[26]	DIPLOMATS
[26]	OFFICES
[26]	PROTECTIONIST
[26]	INTENTION
[26]	COMPLAINT
[26]	EXPORTING
[26]	ASSEMBLY
[26]	DRIVE
[26]	BEYOND
[26]	NEVADA
[26]	GROUNDS
[26]	CENTERS
[26]	EXTENDS
[26]	CONCERNS
[26]	CLAYTON
[26]	ANTITRUST
[26]	MITI
[26]	PHONE
[26]	HARPER
[26]	LAWSUIT
[26]	FUJITSU
[26]	TRW
[25]	SEPT
[25]	REFLECTS
[25]	SENT
[25]	RADIO
[25]	COMMENTING
[25]	ADVISER
[25]	KEEPING
[25]	MUTUAL
[25]	ELIMINATE
[25]	DU
[25]	OCCURRED
[25]	TONIGHT
[25]	LAUNCHING
[25]	LL
[25]	HEAVILY
[25]	BUSHEL
[25]	EL
[25]	DIVISIONS
[25]	PROPOSES
[25]	MEETINGS
[25]	DILSON
[25]	FCA
[25]	FLIGHT
[25]	POINDEXTER
[25]	KING
[25]	BEGUN
[25]	TEXACO
[25]	POSTINGS
[25]	GRADES
[25]	CONTROVERSIAL
[25]	THING
[25]	ORDERED
[25]	DISASTER
[25]	CALLING
[25]	MOVED
[25]	STIMULATE
[25]	BRIEF
[25]	PHASE
[25]	REFERENCE
[25]	WIDE
[25]	BURDEN
[25]	DEADLINE
[25]	BAY
[25]	ADMITTED
[25]	INTERIM
[25]	GAP
[25]	DEUTSCHE
[25]	EXTENSION
[25]	ATPC
[25]	COOPERATE
[25]	AGREES
[25]	STOOD
[25]	RELATIONS
[25]	BILATERAL
[25]	OPPORTUNITIES
[25]	SPANISH
[25]	DISK
[25]	PHILADELPHIA
[25]	ICI
[25]	VISA
[25]	CONVERT
[25]	DIAGNOSTIC
[25]	COMPETE
[25]	AMENDMENT
[25]	ATTEMPTS
[25]	AUTOMOTIVE
[25]	UNDERLYING
[25]	MERCANTILE
[25]	ASKING
[25]	TRADES
[25]	UAW
[25]	ACQUIRES
[25]	DAUSTER
[25]	TREATY
[25]	FDA
[25]	JACOBS
[25]	THINGS
[25]	ZINC
[25]	MEDIA
[25]	COMDATA
[24]	THROUGHOUT
[24]	WENT
[24]	SHOWING
[24]	DEAN
[24]	FROZEN
[24]	MILK
[24]	MAGMA
[24]	REASONS
[24]	FALLEN
[24]	ENTERPRISE
[24]	HIGHEST
[24]	PLAY
[24]	METALS
[24]	RESIDENTIAL
[24]	STEADY
[24]	EX
[24]	MILL
[24]	VERSION
[24]	OFFENSIVE
[24]	BASRA
[24]	GOT
[24]	PARTIAL
[24]	GOES
[24]	FLEXIBILITY
[24]	MATURES
[24]	MOVEMENT
[24]	THOMAS
[24]	WINS
[24]	RETIRE
[24]	BRIDGE
[24]	PEAK
[24]	WORST
[24]	MEMORY
[24]	APPARENTLY
[24]	TIGHT
[24]	GDP
[24]	APPRECIATION
[24]	DESCRIBED
[24]	PHARMACEUTICALS
[24]	SAFETY
[24]	KOREAN
[24]	DELAYS
[24]	MODERATE
[24]	BANQUE
[24]	STRAIGHT
[24]	INTEND
[24]	RISKS
[24]	GENEVA
[24]	COMES
[24]	BANGLADESH
[24]	HONGKONG
[24]	HK
[24]	PEKING
[24]	PROMOTE
[24]	INCREASINGLY
[24]	VIRTUALLY
[24]	QUAKE
[24]	EXCHEQUER
[24]	MOVEMENTS
[24]	SUBROTO
[24]	SA
[24]	TAP
[24]	REVOLVING
[24]	SOUND
[24]	TELL
[24]	FIELDS
[24]	PC
[24]	ALCAN
[24]	TURKISH
[24]	GOLDEN
[24]	EXPENSE
[24]	WALKER
[24]	CHANCE
[24]	HUMAN
[24]	CLIENTS
[24]	HECK
[24]	SPRINKEL
[24]	UPON
[24]	SHOWS
[24]	FSLIC
[24]	BENEFICIAL
[24]	VAN
[24]	OUTBOARD
[24]	FEEDGRAINS
[24]	LUCKY
[24]	DP
[24]	PETROBRAS
[24]	TRUMP
[23]	MANAGE
[23]	LAWRENCE
[23]	ARM
[23]	FORMERLY
[23]	EASIER
[23]	INCENTIVE
[23]	EXCEPT
[23]	WORKS
[23]	CONDUCT
[23]	FAVORABLE
[23]	BROKE
[23]	DEPENDING
[23]	DISCUSSING
[23]	EXPANDING
[23]	WAIT
[23]	MANUFACTURED
[23]	PAN
[23]	MARKED
[23]	INCH
[23]	ACTING
[23]	CLEARED
[23]	PRUDENTIAL
[23]	REDEEMABLE
[23]	SELECTED
[23]	UNDERWRITTEN
[23]	ORANGE
[23]	SHAMROCK
[23]	FAIR
[23]	REASONABLE
[23]	ANALYSIS
[23]	OBTAINED
[23]	RESPONSIBILITY
[23]	MAC
[23]	DAMAGES
[23]	YIELDING
[23]	TRIP
[23]	HANDLE
[23]	LEAVING
[23]	FORMALLY
[23]	COMPRISED
[23]	WILLINGNESS
[23]	ARRANGEMENT
[23]	ELIMINATION
[23]	DRAIN
[23]	BEARING
[23]	PROVED
[23]	SETTLE
[23]	UNCERTAINTY
[23]	IMPOSSIBLE
[23]	NEITHER
[23]	DENOMINATED
[23]	REITERATED
[23]	DISMISSED
[23]	NOMINAL
[23]	REFINANCING
[23]	STATED
[23]	LICENCES
[23]	OPTICAL
[23]	MORTGAGES
[23]	PROCEDURE
[23]	TEXTILES
[23]	COMPLEX
[23]	LIABILITY
[23]	GRAND
[23]	OFTEN
[23]	LABORATORIES
[23]	MOTION
[23]	URGES
[23]	REDUNDANCIES
[23]	APPROPRIATE
[23]	BANNER
[23]	INTEGRATED
[23]	SHOPPING
[23]	RAINS
[23]	RESTRUCTURE
[23]	BUYBACK
[23]	ADVERTISING
[23]	GIVES
[23]	COMPREHENSIVE
[23]	JET
[23]	SWAPS
[23]	ISRAEL
[23]	HIKE
[23]	NORFOLK
[23]	FE
[23]	BEET
[23]	MARTIN
[22]	RED
[22]	ARRANGEMENTS
[22]	NEWMONT
[22]	ALUMINUM
[22]	CUSTOMS
[22]	WORKED
[22]	SUFFICIENT
[22]	DOMINION
[22]	FRANCISCO
[22]	ACQUIRING
[22]	SQUARE
[22]	FLEXIBLE
[22]	TRANCHES
[22]	SIEMENS
[22]	IMPERIAL
[22]	LOUISIANA
[22]	RESPECT
[22]	MULTILATERAL
[22]	RELIEF
[22]	BOARDS
[22]	PRODUCTIVITY
[22]	RENEWED
[22]	REMAINDER
[22]	MOSTLY
[22]	ASIAN
[22]	ELABORATE
[22]	PRESSURES
[22]	WELCOMED
[22]	INDIAN
[22]	FIFTH
[22]	ECU
[22]	HYDRO
[22]	CARRIER
[22]	REQUESTS
[22]	FLAT
[22]	OPPOSE
[22]	COMMONWEALTH
[22]	REFINED
[22]	EXPERTS
[22]	BOOSTED
[22]	WISCONSIN
[22]	COMPENSATION
[22]	LAWMAKERS
[22]	INFLUENCE
[22]	APPROACH
[22]	NORMALLY
[22]	LOCATED
[22]	COUNSEL
[22]	IRELAND
[22]	JEEP
[22]	RELATIONSHIP
[22]	THEREFORE
[22]	COLD
[22]	MISSILE
[22]	ECONOMIES
[22]	FEEL
[22]	REDEEMED
[22]	GREECE
[22]	COMPRISE
[22]	FRN
[22]	UNILEVER
[22]	SNOW
[22]	OPPOSES
[22]	MULFORD
[22]	SUMMIT
[22]	EDWARD
[22]	NOMURA
[22]	ILLEGAL
[22]	PARK
[22]	EMS
[22]	EUROYEN
[22]	ARGUED
[22]	VW
[22]	CYACQ
[22]	VASKEVITCH
[22]	ALUSUISSE
[21]	DRY
[21]	DESTINATIONS
[21]	OPERATED
[21]	INTERSTATE
[21]	MILLER
[21]	IMPROVEMENTS
[21]	GENERATED
[21]	CALCULATED
[21]	EXPERIENCE
[21]	ALONE
[21]	DISCLOSURE
[21]	ELECTRICAL
[21]	EURODOLLAR
[21]	APPEALS
[21]	LANGUAGE
[21]	LAUNCHES
[21]	SURPRISE
[21]	HEADED
[21]	NUMBERS
[21]	RECESSION
[21]	EASING
[21]	PURPOSE
[21]	SUSPEND
[21]	EXAMPLE
[21]	ROSTENKOWSKI
[21]	INDIVIDUALS
[21]	SCOTT
[21]	PUBLISHING
[21]	HEADS
[21]	RETAINED
[21]	LIFT
[21]	PARTIALLY
[21]	SUCCEED
[21]	OPTIMISM
[21]	PROMPTED
[21]	CUBIC
[21]	RECOVER
[21]	ANIMAL
[21]	GROUND
[21]	RESALE
[21]	CONTRIBUTION
[21]	ACTIVELY
[21]	EXEMPTION
[21]	MAIL
[21]	ATTENTION
[21]	FINE
[21]	DELTA
[21]	PURCHASING
[21]	WRITTEN
[21]	CAUSING
[21]	CORPORATIONS
[21]	INDICATORS
[21]	FACED
[21]	BUSINESSMEN
[21]	BATTLE
[21]	AUCTIONS
[21]	TELEGRAPH
[21]	SUISSE
[21]	RINGGIT
[21]	DEFICITS
[21]	REPRESENT
[21]	MALAYSIAN
[21]	CHASE
[21]	MANHATTAN
[21]	DISCUSSION
[21]	EXCEEDED
[21]	ALASKA
[21]	SANCTIONS
[21]	FIDELITY
[21]	DOWNWARD
[21]	NECESSARILY
[21]	PERFORMING
[21]	CONCESSIONS
[21]	SITE
[21]	VEHICLE
[21]	EXPIRED
[21]	MACINTOSH
[21]	TABLE
[21]	AFFECTS
[21]	REBATE
[21]	LOOKS
[21]	PETRO
[21]	OPPORTUNITY
[21]	DONALDSON
[21]	PACKAGING
[21]	LEASING
[21]	REQUIRES
[21]	SEARS
[21]	BREAKDOWN
[21]	CENTURY
[21]	KAISER
[21]	ASSUME
[21]	BASS
[21]	AFFIRMED
[21]	GILT
[21]	DEAD
[21]	EQUATORIAL
[21]	ENCOURAGING
[21]	MERGERS
[21]	PACKAGES
[21]	TENNECO
[20]	WILSON
[20]	STEARNS
[20]	SELF
[20]	UPS
[20]	SENATOR
[20]	DEALINGS
[20]	EVANS
[20]	DIVERSION
[20]	BEHALF
[20]	RESIGNATION
[20]	BACKLOG
[20]	PICTURE
[20]	OBJECTIVE
[20]	ADOPTED
[20]	BUSHELS
[20]	MONTREAL
[20]	ENGLISH
[20]	METROPOLITAN
[20]	PESOS
[20]	CONTAINING
[20]	NOR
[20]	BOLIVIA
[20]	ISLANDS
[20]	PUBLICLY
[20]	MORTON
[20]	SERVED
[20]	SUGGEST
[20]	CLINICAL
[20]	LIQUID
[20]	PARTICIPATE
[20]	DEEP
[20]	MEANWHILE
[20]	VOLUMES
[20]	SIMPLY
[20]	EEP
[20]	ECONOMICS
[20]	LIVE
[20]	SWEET
[20]	ACREAGE
[20]	CIRCUIT
[20]	PUSHED
[20]	FINDING
[20]	FACING
[20]	GENERALE
[20]	KEPT
[20]	MAGAZINE
[20]	FORUM
[20]	EXPORTER
[20]	DEVALUATION
[20]	NORTHEAST
[20]	SYNDICATED
[20]	SPA
[20]	WITHDRAWAL
[20]	POLISH
[20]	DELEGATION
[20]	FATS
[20]	FINANCED
[20]	FEATURE
[20]	EUROBONDS
[20]	CAISSE
[20]	EFFECTIVELY
[20]	ISSUANCE
[20]	MIYAZAWA
[20]	OPERATORS
[20]	RAPESEED
[20]	RMJ
[20]	PROVE
[20]	EURO
[20]	PURSUE
[20]	SCIENTIFIC
[20]	TENDERED
[20]	RESPOND
[20]	CBS
[20]	REPLACEMENT
[20]	STONE
[20]	INT
[20]	FOREST
[20]	ROUTES
[20]	REACHING
[20]	NORTHWEST
[20]	RECAPITALIZATION
[20]	WIN
[20]	PLANE
[20]	REED
[20]	WARNING
[20]	EASED
[20]	NPPC
[20]	WOOLWORTH
[20]	PIZZA
[20]	BARNEY
[20]	SAUDIS
[20]	BECOMING
[20]	NSC
[20]	HALL
[20]	RIO
[20]	IMBALANCES
[20]	SLAUGHTER
[20]	NORANDA
[20]	MARINES
[19]	SEEMS
[19]	PROCESSORS
[19]	RECEIVES
[19]	X
[19]	OATS
[19]	OILSEEDS
[19]	MARATHON
[19]	TERMINALS
[19]	ADMINISTRATIVE
[19]	QUICK
[19]	FAILING
[19]	MAN
[19]	ALWAYS
[19]	HOMES
[19]	CURBS
[19]	VARIETY
[19]	WEIGHT
[19]	VESSELS
[19]	EXPLORE
[19]	EXPENSIVE
[19]	TIGHTEN
[19]	EMPLOYEE
[19]	THEREAFTER
[19]	ROCKWELL
[19]	NEWSPAPERS
[19]	BOOKS
[19]	SUM
[19]	DISTRIBUTE
[19]	MONTGOMERY
[19]	DIVERSIFIED
[19]	AAA
[19]	UNCERTAIN
[19]	ENCOURAGED
[19]	SLIGHT
[19]	ELIGIBLE
[19]	SURGE
[19]	NOTICE
